Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
11.573334	17.699516	-0.169640
11.575000	17.698643	-0.169638
11.576666	17.698156	-0.169634
11.578334	17.698727	-0.169633
11.580000	17.698061	-0.169634
11.581667	17.697542	-0.169633
11.583333	17.697145	-0.169631
11.585000	17.698160	-0.169630
11.586667	17.696512	-0.169627
11.588333	17.697083	-0.169625
11.590000	17.695143	-0.169624
11.591667	17.695618	-0.169622
11.593333	17.696081	-0.169618
11.595000	17.693815	-0.169613
11.596666	17.695166	-0.169607
11.598334	17.694923	-0.169602
11.600000	17.694460	-0.169597
11.601666	17.693460	-0.169592
11.603334	17.692835	-0.169590
11.605000	17.692907	-0.169587
11.606667	17.692326	-0.169586
11.608333	17.692194	-0.169584
11.610000	17.692322	-0.169583
11.611667	17.692327	-0.169581
11.613333	17.691191	-0.169581
11.615000	17.692026	-0.169578
11.616667	17.690311	-0.169575
11.618333	17.690475	-0.169571
11.620000	17.691240	-0.169567
11.621666	17.690237	-0.169563
11.623334	17.689539	-0.169560
11.625000	17.689993	-0.169557
11.626666	17.690235	-0.169554
11.628334	17.689016	-0.169551
11.630000	17.688259	-0.169547
11.631667	17.688272	-0.169545
11.633333	17.687372	-0.169543
11.635000	17.687780	-0.169542
11.636667	17.687660	-0.169541
11.638333	17.686268	-0.169541
11.640000	17.686310	-0.169541
11.641667	17.686268	-0.169542
11.643333	17.686518	-0.169540
11.645000	17.685118	-0.169538
11.646666	17.684175	-0.169536
11.648334	17.684456	-0.169533
11.650000	17.684526	-0.169531
11.651666	17.685020	-0.169527
11.653334	17.685375	-0.169522
11.655000	17.683870	-0.169518
11.656667	17.683920	-0.169514
11.658333	17.683825	-0.169511
11.660000	17.682438	-0.169506
11.661667	17.683086	-0.169504
11.663333	17.682213	-0.169501
11.665000	17.681942	-0.169500
11.666667	17.682280	-0.169500
11.668333	17.681620	-0.169498
11.670000	17.681223	-0.169498
11.671666	17.680305	-0.169500
11.673334	17.679529	-0.169501
11.675000	17.679518	-0.169503
11.676666	17.679457	-0.169505
11.678334	17.679075	-0.169507
11.680000	17.677681	-0.169509
11.681667	17.678364	-0.169509
11.683333	17.677975	-0.169506
11.685000	17.677338	-0.169503
11.686667	17.677561	-0.169499
11.688333	17.675945	-0.169494
11.690000	17.676376	-0.169488
11.691667	17.675858	-0.169482
11.693333	17.676003	-0.169477
11.695000	17.676041	-0.169474
11.696666	17.675945	-0.169471
11.698334	17.674543	-0.169468
11.700000	17.675093	-0.169466
11.701666	17.674465	-0.169462
11.703334	17.674646	-0.169456
11.705000	17.673033	-0.169450
11.706667	17.673574	-0.169446
11.708333	17.673183	-0.169441
11.710000	17.673512	-0.169440
11.711667	17.672596	-0.169440
11.713333	17.672028	-0.169442
11.715000	17.671436	-0.169445
11.716667	17.671019	-0.169446
11.718333	17.671265	-0.169449
11.720000	17.670164	-0.169448
11.721666	17.669373	-0.169447
11.723334	17.669933	-0.169443
11.725000	17.669905	-0.169441
11.726666	17.669397	-0.169438
11.728334	17.668535	-0.169434
11.730000	17.669645	-0.169430
11.731667	17.667574	-0.169426
11.733333	17.666887	-0.169422
11.735000	17.667122	-0.169418
11.736667	17.666958	-0.169414
11.738333	17.666166	-0.169410
11.740000	17.666771	-0.169407
11.741667	17.665890	-0.169403
11.743333	17.665964	-0.169398
11.745000	17.665995	-0.169395
11.746666	17.665318	-0.169392
11.748334	17.665083	-0.169390
11.750000	17.664368	-0.169388
11.751666	17.664030	-0.169387
11.753334	17.663673	-0.169382
11.755000	17.663069	-0.169379
11.756667	17.662931	-0.169378
11.758333	17.661953	-0.169375
11.760000	17.662184	-0.169372
11.761667	17.662085	-0.169372
11.763333	17.661474	-0.169371
11.765000	17.661385	-0.169369
11.766667	17.661736	-0.169368
11.768333	17.661089	-0.169367
11.770000	17.661177	-0.169368
11.771666	17.660389	-0.169367
11.773334	17.659550	-0.169362
11.775000	17.659348	-0.169358
11.776666	17.659359	-0.169352
11.778334	17.659201	-0.169347
11.780000	17.658300	-0.169343
11.781667	17.659166	-0.169339
11.783333	17.657602	-0.169333
11.785000	17.657038	-0.169329
11.786667	17.656666	-0.169324
11.788333	17.657154	-0.169319
11.790000	17.656927	-0.169315
11.791667	17.655512	-0.169312
11.793333	17.655905	-0.169309
11.795000	17.655174	-0.169306
11.796666	17.654762	-0.169305
11.798334	17.655869	-0.169304
11.800000	17.654394	-0.169302
11.801666	17.654232	-0.169303
11.803334	17.653913	-0.169304
11.805000	17.653784	-0.169304
11.806667	17.653973	-0.169304
11.808333	17.652903	-0.169305
11.810000	17.652821	-0.169307
11.811667	17.652533	-0.169308
11.813333	17.652422	-0.169307
11.815000	17.651108	-0.169306
11.816667	17.651443	-0.169304
11.818333	17.651346	-0.169301
11.820000	17.650755	-0.169297
11.821666	17.650488	-0.169293
11.823334	17.649250	-0.169289
11.825000	17.649448	-0.169286
11.826666	17.648848	-0.169283
11.828334	17.648720	-0.169279
11.830000	17.648256	-0.169276
11.831667	17.647974	-0.169273
11.833333	17.648123	-0.169269
11.835000	17.647089	-0.169265
11.836667	17.647339	-0.169262
11.838333	17.647238	-0.169259
11.840000	17.646173	-0.169256
11.841667	17.645687	-0.169253
11.843333	17.645372	-0.169252
11.845000	17.645105	-0.169250
11.846666	17.645798	-0.169248
11.848334	17.644274	-0.169246
11.850000	17.644508	-0.169243
11.851666	17.643587	-0.169242
11.853334	17.644053	-0.169240
11.855000	17.644152	-0.169239
11.856667	17.643040	-0.169237
11.858333	17.642727	-0.169237
11.860000	17.641119	-0.169234
11.861667	17.642691	-0.169232
11.863333	17.642361	-0.169229
11.865000	17.642025	-0.169226
11.866667	17.641768	-0.169223
11.868333	17.641121	-0.169217
11.870000	17.641180	-0.169211
11.871666	17.640331	-0.169204
11.873334	17.640331	-0.169198
11.875000	17.640049	-0.169193
11.876666	17.640070	-0.169190
11.878334	17.639355	-0.169189
11.880000	17.638922	-0.169186
11.881667	17.638750	-0.169185
11.883333	17.638012	-0.169185
11.885000	17.638348	-0.169184
11.886667	17.637985	-0.169183
11.888333	17.636713	-0.169181
11.890000	17.636564	-0.169177
11.891667	17.636650	-0.169173
11.893333	17.636501	-0.169168
11.895000	17.635994	-0.169162
11.896666	17.635059	-0.169157
11.898334	17.635929	-0.169154
11.900000	17.635239	-0.169153
11.901666	17.634520	-0.169150
11.903334	17.633360	-0.169145
11.905000	17.634010	-0.169141
11.906667	17.633530	-0.169137
11.908333	17.633060	-0.169133
11.910000	17.632782	-0.169130
11.911667	17.632898	-0.169130
11.913333	17.632151	-0.169130
11.915000	17.632158	-0.169130
11.916667	17.632334	-0.169132
11.918333	17.630575	-0.169133
11.920000	17.630096	-0.169133
11.921666	17.631260	-0.169133
11.923334	17.630205	-0.169131
11.925000	17.630571	-0.169128
11.926666	17.629950	-0.169122
11.928334	17.629522	-0.169117
11.930000	17.629135	-0.169113
11.931667	17.629309	-0.169110
11.933333	17.628477	-0.169107
11.935000	17.628672	-0.169103
11.936667	17.628593	-0.169097
11.938333	17.627941	-0.169094
11.940000	17.626549	-0.169091
11.941667	17.626472	-0.169089
11.943333	17.626822	-0.169086
11.945000	17.626348	-0.169085
11.946666	17.625551	-0.169083
11.948334	17.624851	-0.169082
11.950000	17.625340	-0.169081
11.951666	17.624630	-0.169079
11.953334	17.623898	-0.169077
11.955000	17.623550	-0.169075
11.956667	17.623001	-0.169075
11.958333	17.624168	-0.169075
11.960000	17.622965	-0.169072
11.961667	17.621883	-0.169071
11.963333	17.621466	-0.169069
11.965000	17.621666	-0.169068
11.966667	17.621969	-0.169067
11.968333	17.621391	-0.169065
11.970000	17.620256	-0.169061
11.971666	17.620510	-0.169057
11.973334	17.619900	-0.169053
11.975000	17.619431	-0.169048
11.976666	17.620153	-0.169044
11.978334	17.619131	-0.169040
11.980000	17.619719	-0.169034
11.981667	17.617752	-0.169029
11.983333	17.617762	-0.169024
11.985000	17.617489	-0.169024
11.986667	17.616602	-0.169024
11.988333	17.617348	-0.169024
11.990000	17.616678	-0.169025
11.991667	17.616869	-0.169027
11.993333	17.615303	-0.169029
11.995000	17.615789	-0.169033
11.996666	17.615759	-0.169034
11.998334	17.613920	-0.169035
12.000000	17.614407	-0.169035
12.001666	17.613861	-0.169032
12.003334	17.613478	-0.169032
12.005000	17.613522	-0.169032
12.006667	17.613451	-0.169031
12.008333	17.613663	-0.169029
12.010000	17.611597	-0.169029
