Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
28.268333	17.385324	-0.070098
28.269999	17.385223	-0.070097
28.271667	17.384399	-0.070096
28.273334	17.385452	-0.070095
28.275000	17.384224	-0.070094
28.276666	17.383938	-0.070093
28.278333	17.382860	-0.070091
28.280001	17.383024	-0.070090
28.281667	17.382984	-0.070088
28.283333	17.381868	-0.070087
28.285000	17.382065	-0.070085
28.286666	17.381952	-0.070085
28.288334	17.382313	-0.070086
28.290000	17.381977	-0.070086
28.291667	17.380476	-0.070086
28.293333	17.380644	-0.070086
28.294999	17.379980	-0.070085
28.296667	17.380777	-0.070086
28.298334	17.380016	-0.070087
28.300000	17.378376	-0.070088
28.301666	17.379011	-0.070089
28.303333	17.379349	-0.070088
28.305001	17.378500	-0.070089
28.306667	17.378218	-0.070089
28.308333	17.378002	-0.070089
28.310000	17.376596	-0.070087
28.311666	17.377085	-0.070085
28.313334	17.377069	-0.070081
28.315000	17.376328	-0.070078
28.316667	17.375969	-0.070074
28.318333	17.375816	-0.070070
28.319999	17.374353	-0.070066
28.321667	17.374197	-0.070062
28.323334	17.375189	-0.070060
28.325000	17.374628	-0.070060
28.326666	17.373690	-0.070060
28.328333	17.373671	-0.070062
28.330001	17.373402	-0.070063
28.331667	17.372496	-0.070065
28.333333	17.372362	-0.070066
28.335000	17.371607	-0.070066
28.336666	17.371933	-0.070066
28.338334	17.371288	-0.070067
28.340000	17.372059	-0.070066
28.341667	17.371046	-0.070063
28.343333	17.370136	-0.070060
28.344999	17.370934	-0.070058
28.346667	17.370508	-0.070055
28.348334	17.368931	-0.070052
28.350000	17.368835	-0.070049
28.351666	17.369059	-0.070047
28.353333	17.369371	-0.070045
28.355001	17.368429	-0.070045
28.356667	17.368368	-0.070045
28.358333	17.367907	-0.070046
28.360000	17.367428	-0.070047
28.361666	17.366655	-0.070048
28.363334	17.366793	-0.070049
28.365000	17.365656	-0.070050
28.366667	17.365564	-0.070049
28.368333	17.365015	-0.070047
28.369999	17.365314	-0.070045
28.371667	17.365536	-0.070043
28.373334	17.365164	-0.070041
28.375000	17.365139	-0.070040
28.376666	17.363577	-0.070041
28.378333	17.364626	-0.070042
28.380001	17.363916	-0.070044
28.381667	17.363140	-0.070046
28.383333	17.362366	-0.070050
28.385000	17.361677	-0.070052
